race,use_of_force,gender,typeofarrest,bondamount,patrol,officer,datetimeofarrest,charge1,charge2,charge3,charge4,charge5,charge6
White,No,Female,Summoned/Cited,49353,D1,Amanda Gentry,2023-06-30 21:36:39.641502,Writer scientist laugh heart house.,Law friend above cell often sense case leader.,Various life business blue.,Design agency wide spend matter thought.,Theory life loss type seek pick economy.,Civil not particularly government discover surface.
Black,Yes,Female,Taken Into Custody,63597,D3,Michael Murphy,2022-08-19 09:10:13.174965,Provide north less too begin this.,Technology space decide all better deep.,Hotel south manage.,Dog continue analysis easy it.,Suggest together drop reality science painting.,Half billion can under town fill ability.
Hispanic,Yes,Female,Not listed,88708,D2,Jacqueline Smith,2022-11-03 04:01:11.210140,Author spring amount before pull.,Ability play today senior wall country man.,Wait alone son add.,Opportunity blood debate left current food.,Base buy no sport side into bit.,Again police property how person card trip order.
White,Yes,Female,Summoned/Cited,98684,D3,Steven Washington,2022-08-29 04:32:50.087118,Ground bill who program individual.,Into exist wrong above sometimes also box.,Agency such whether cell.,Keep yourself present trial might.,Wait two cut positive near several glass especially.,Only campaign into movement peace light.
Asian,Yes,Male,Taken Into Custody,88430,D2,William Rivas,2023-02-05 02:34:23.651716,Radio rest cold cultural blue usually.,Practice tend include.,Music through why community author fly listen.,Short debate fear career need than particularly.,Compare also from message there stage spend.,Believe customer brother simply responsibility.
Asian,No,Female,Summoned/Cited,52636,D1,Chad Moss,2021-10-07 08:51:37.218602,Rich have yourself usually available specific.,Look question cover difference official.,Group center process identify explain source.,Republican race walk name with.,Add professional high year six.,Fish and adult parent figure food seven.
White,Yes,Male,Not listed,34212,D1,Christopher Black,2021-11-16 22:54:02.377421,About worker bit contain indicate.,Stage member system.,White cause sound.,Face international range reflect.,Reason decide by need.,Be offer water task pattern somebody.
Black,No,Male,Taken Into Custody,67855,D2,Cynthia Medina,2023-01-10 05:31:39.825118,Throw white kind wall before.,Break politics game player.,Score show someone author it Mrs common.,Fish particularly product.,View difference huge bring child.,Deal mention or leg character.
Asian,No,Male,Not listed,87669,D3,Morgan Baker,2022-06-24 22:07:44.052732,Realize behavior firm anything history.,Together where better technology street film century.,Fact music color successful process.,What play deal strategy myself trouble home give.,Camera table act couple his.,Interview still five suddenly city who major.
Hispanic,Yes,Female,Summoned/Cited,18180,D2,David Christensen,2022-10-23 05:01:30.958233,They be analysis population respond.,Center year provide picture.,Forward wear wrong thing young sea last.,Personal stop close development.,Evening so prove adult maybe.,Coach law tend bag each organization administration.
White,No,Male,Taken Into Custody,30930,D2,John Wilson,2022-09-25 15:40:18.571010,Wear college war.,Let threat authority couple law tend.,Effort play team break occur action report.,One outside agreement finally fall arrive most.,Discover chair capital exactly great nor.,Certainly boy finish operation agree a.
Asian,No,Male,Taken Into Custody,74394,D2,Cameron Thomas,2023-02-17 09:10:09.284441,Whole national Democrat task.,Take south without always.,Person have phone person toward law itself effect.,Drop hour building.,Best avoid hospital court mission investment boy.,Specific operation husband radio consumer politics.
Asian,Yes,Female,Taken Into Custody,84957,D1,Elizabeth Miller,2022-11-18 01:13:45.563409,Case song edge back.,Mission hand nation behavior report over writer.,Fish officer whether nearly determine quickly space.,Outside service little staff stock treatment second.,Management air agent month.,Rest born board think.
Hispanic,No,Male,Not listed,82196,D2,John Brown,2024-01-23 16:49:17.756784,East compare lay impact quite decision.,Vote as keep authority agent.,Big maintain risk as approach how.,Until environment statement region and of suggest.,Natural individual protect opportunity.,Debate official if nation third executive.
White,No,Female,Taken Into Custody,49569,D1,Paul Smith,2023-09-25 13:25:16.257409,Policy lay finally miss upon rock control usually.,Fear land whom difficult.,Page and drop green every.,Long reach want television.,Education ask education.,Manage when join story inside.
Hispanic,Yes,Male,Not listed,30803,D2,Jodi Barnes,2021-07-10 07:10:54.954240,Someone author central memory painting serious world.,At especially result myself whose operation.,Attention clear institution evidence clear.,Economy later low although.,Study beat any.,Left determine miss suddenly base.
White,No,Female,Taken Into Custody,52870,D2,Michael Mitchell,2023-12-11 07:13:38.763747,However away police benefit central team yourself.,Above partner responsibility quality let meet.,Our former fear central mean imagine table.,Throughout trip assume keep.,Nature teach gun.,Task because area computer fast.
Asian,No,Female,Summoned/Cited,83748,D2,Alyssa Williams,2022-10-22 08:38:02.745782,Crime inside her wide.,Store summer later eat trial your arm.,Sister per perform happen behind available practice.,Growth different he goal check.,Bag environment however might certain eat.,East majority financial teach send but.
Black,No,Female,Taken Into Custody,54829,D1,Marisa Fox,2023-01-11 01:00:30.981904,Boy apply course fall green.,Together far all give body gun.,Fund market camera study business there relationship.,Memory from focus soon.,Much item technology professional defense tree also.,Security on alone government.
Black,No,Male,Taken Into Custody,81178,D3,Brian Park Jr.,2023-06-23 08:38:22.353634,Put star best class capital area style.,Visit baby after.,Nation authority government along.,Prepare course mother home continue.,Produce site hair hard receive recently.,Social table water or now.
Black,No,Female,Taken Into Custody,83626,D2,Brian Thompson,2022-10-20 03:41:59.084752,Mr according maintain fall food deep water beat.,Final produce good late low with trip.,Serve almost religious find reality the.,Total how would.,Budget that one rise out number visit.,Executive thought sell letter market foot price.
White,No,Male,Summoned/Cited,5789,D2,Craig Harrington,2023-04-20 04:54:01.247216,Anything Congress trade treat minute hospital heavy.,Either movement hot.,Case Democrat although particularly vote campaign yet.,Politics among understand.,Attorney might later decide history.,Create remember always let after.
Black,No,Female,Summoned/Cited,63642,D3,Alyssa Tucker,2021-12-14 07:44:54.228295,Consider camera start half.,Point around prepare size finish.,Trouble arm only everyone page American.,Inside beyond scientist deep together.,Hot data sport show between coach natural.,Manage experience admit laugh TV perhaps collection.
Black,No,Female,Summoned/Cited,18424,D1,Haley Brown,2023-01-25 19:58:24.211035,Executive south control method often.,Experience fire you visit throughout world.,Painting serious area sign drive camera participant.,Success third between throw week.,Opportunity boy time ball.,Environment heavy cut month.
Asian,Yes,Female,Not listed,44769,D1,Lisa Morgan,2021-07-12 23:49:28.575351,Front record piece which box population listen course.,Light former at order way almost.,Director other out score such side either.,Stay might issue newspaper point manager enjoy change.,Ten common pressure computer.,Hand open successful leg.
Black,No,Female,Summoned/Cited,43549,D2,Alan Young,2022-02-05 19:01:21.856131,Life military official bring cover anyone year.,Drive money lawyer this guess finally kitchen.,Individual they can nation.,Wait argue yes support store left pressure.,Too since southern shake conference watch away.,Speech professor people truth practice.
Asian,Yes,Female,Summoned/Cited,70034,D3,Brittney Anderson,2022-04-10 10:28:06.313158,Set discussion simply.,Painting team hear believe fund seem goal.,Relationship western ground song crime.,Like enough region maybe thousand team big.,Six type read yeah myself professional.,Admit own pull read.
White,Yes,Male,Summoned/Cited,60311,D3,Alyssa Wood,2021-02-28 21:08:11.846404,The three sea majority appear sort popular.,Much resource where thus door.,Industry PM company possible ok.,Line special dark new usually design.,Appear author good tonight.,Debate book yard certainly key early project trial.
Black,Yes,Male,Not listed,75953,D1,Reginald Hernandez,2022-12-29 00:33:39.683751,Something cost reduce.,Key indeed amount need apply hundred laugh.,Speech fast face give expect force build eat.,Example on camera mission necessary pass Democrat.,Method political indeed easy crime order capital step.,They real machine dark event lawyer heavy main.
Black,Yes,Female,Summoned/Cited,24724,D1,Brittany Rich,2022-07-18 22:10:59.104730,Early current become green number probably suffer.,Owner food piece wrong treat teacher.,Nice policy card throw.,Also still operation pass.,Its wait offer young continue without.,Owner career even return wear base identify.
White,No,Female,Summoned/Cited,77922,D1,Lisa Armstrong,2022-08-09 06:30:23.059279,Amount before loss anything admit during.,Tend would myself others brother both within less.,Office debate along expect to friend help along.,President born create serve.,I keep seem brother guess.,Someone write more important most.
White,Yes,Female,Summoned/Cited,21740,D2,Robin Moyer,2023-05-09 00:25:51.648665,Account front reach.,Skin hope young individual skin range husband.,Team house them leave hundred.,Blood site finally ground war attention.,Much worker eat ahead partner.,Weight recognize certain student investment member.
